"filename", "language", "JavaScript", "MS SQL", "JSON", "TypeScript", "Markdown", "YAML", "Docker", "Ignore", "HTML", "PostCSS", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\client\src\pages\pageStyles\EditIssue.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 135, 0, 2, 19, 156
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\client\src\pages\pageStyles\Login.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 9, 17, 112
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\client\src\pages\pageStyles\Statistics.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 274, 0, 37, 40, 351
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\client\src\pages\pageStyles\Tracking.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 220, 0, 27, 34, 281
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\client\src\services\IssueCategoryService.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\client\src\services\equipmentService.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\client\src\services\locationService.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 80
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\client\src\services\ticketService.js", "JavaScript", 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 159
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\client\src\utils\formatDate.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\client\src\utils\timeline.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 37
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\client\vite.config.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 28
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\docker-compose.prod.yml", "YAML", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 3, 34
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 3, 51
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\server\.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 11
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\server\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 5, 1, 22
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\server\config\cloudinaryConfig.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 38
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\server\config\prismaClient.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\server\controllers\EquipmentControllers.js", "JavaScript", 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 48, 353
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\server\controllers\authController.js", "JavaScript", 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 25, 185
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\server\controllers\getTicketControllers.js", "JavaScript", 304, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 37, 384
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\server\controllers\managementControllers.js", "JavaScript", 355, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 42, 404
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\server\controllers\statisticController.js", "JavaScript", 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 23, 155
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\server\controllers\ticketControllers.js", "JavaScript", 328, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 59, 418
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\server\controllers\ticketManagementControllers.js", "JavaScript", 354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 73, 467
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\server\middleware\authMiddleware.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 28
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\server\middleware\ticketMiddleware.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\server\package-lock.json", "JSON", 0, 0, 4077, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4078
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\server\package.json", "JSON", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 43
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\server\prisma.config.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 2, 15
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\server\prisma\migrations\20260517092523_add_extension\migration.sql", "MS SQL", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\server\prisma\migrations\20260517092757_init_schema\migration.sql", "MS SQL", 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 46, 212
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\server\prisma\migrations\20260606071851_change_rating_to_float\migration.sql", "MS SQL", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 13, 39
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\server\routes\authRoutes.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 26
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\server\routes\managementRoutes.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 59
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\server\routes\ticketManagementRoutes.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 46
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\server\routes\ticketRoutes.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 52
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\server\src\index.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 40
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\server\utils\cloudinaryUpload.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 26
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\server\utils\formatDate.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\server\utils\generateID.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 16
"Total", "-", 3379, 144, 7348, 11, 11, 79, 33, 22, 13, 5153, 5264, 1170, 2081, 24708
